GenConBlf,VacConBlf,InfoPros_Analytic,InfoPros_Experiential,Aff_MMR,Aff_Cov,RskMsl,RskCov,RskMmrVac,RskCovVac,BnfMmrVac,BnfCovVac,VacIntMMR,VacIntCOV_Child,VacIntCOV_Self,HstMMR_inconfidence,HstMMR_risk,HstCov_risk,HstCov_inconfidence,AttdMMRVac,AttdMeasles,AttdCovVac,AttdCov19,SbjNrmMMR,BhvCtrlMMR,SbjNrmCov,BhvCtrlCov,Condition,Fact_others,Narrative_others,Hybrid_others,CaseNum,Progress,Duration__in_seconds_,Gender,Gender_5_TEXT,Ethnicity,Race,Race_7_TEXT,Religion,Religion_8_TEXT,PolIdeo,SlfPolIdeo,SlfPolIdeo_4_TEXT,age,marital,ChildNum,ChildNum_6_TEXT,ChildGen,ChildGen_1_TEXT,ChildGen_2_TEXT,ChildGen_3_TEXT,Income,Edu,Employ,States,Random_ID
4.933333333,4.571428571,7,1,3,1,4,4,4,4,3,1,1,1,1,2.714285714,3,3,5,2.5,4.6,2.333333333,3.4,3,3,1,3,Hybrid,0,0,1,32,100,358,Female, ,NOT Hispanic or Latino or Spanish origin,Black or African American, ,Catholicism/Christianity, ,Neither liberal nor conservative,Democrats, ,31-40 years old,Partnered,1, ,Female, , , ,"$10,000 - $19,999","Associate degree (e.g. AA, AS)",Employed full time (40 or more hours per week),North Carolina,39199
3.8,2.857142857,5.4,3,4,3,4,4,3,4,5,4,4,4,3.5,1.857142857,4,4.5,2,3.333333333,4.4,3.166666667,4.4,3.5,4.5,4,3,Fact,1,0,0,33,100,360,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Liberal,Democrats, ,21-30 years old,Divorced,1, ,Female, , , ,"$60,000 - $69,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),New York,29576
3.333333333,4.142857143,5,2.2,3,3,3,3,2,4,3,2,2.5,3.5,4,3,3.5,4,3.285714286,3,3.6,3,4,4,4.5,3.5,3,Control,0,0,0,34,100,362,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Republicans, ,21-30 years old,Divorced,3, ,Male,3, , ,"$30,000 - $39,999","Some college, no degree",Employed full time (40 or more hours per week),Connecticut,22202
3.4,3.571428571,4.6,5,4,3,4,4,3,4,3,2,2.5,3,2.5,2.571428571,4,4,2.571428571,3.166666667,3.75,2.5,3.2,4,3.5,3.5,3.5,Fact,1,0,0,35,100,375,Male, ,Hispanic or Latino or Spanish origin,Asian, ,Hinduism, ,Conservative,Independents, ,31-40 years old,Married,2, ,Male,2, , ,"$50,000 - $59,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Florida,81934
2.866666667,3.285714286,4.2,4.6,4,3,4,3,4,3,3,2,3,3,3.5,2.571428571,3,2.5,2.428571429,3.333333333,3.4,3.333333333,2.8,3,2.5,3.5,4.5,Hybrid,0,0,1,36,100,381,Female, ,Hispanic or Latino or Spanish origin,Black or African American, ,Hinduism, ,Liberal,Republicans, ,21-30 years old,Married,2, ,Female, , , ,"$10,000 - $19,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Mississippi,16113
3.733333333,4,4.2,3.4,3,3,4,4,4,3,3,3,3,3,1,3.142857143,3.5,2.5,2.857142857,3,3,2.833333333,2.8,2.5,2.5,2.5,3,Fact,1,0,0,37,100,394,Male, ,NOT Hispanic or Latino or Spanish origin,Two or more, ,Catholicism/Christianity, ,Liberal,Democrats, ,21-30 years old,Married,3, ,Male,3, , ,"$100,000 - $149,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Texas,44242
4.466666667,4.571428571,6.6,6.4,5,4,4,4,4,4,5,4,3.5,4,4,1.571428571,5,4,1.285714286,2.166666667,3.8,2.333333333,4,4.5,4.5,4.5,4.5,Fact,1,0,0,38,100,401,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Liberal,Democrats, ,21-30 years old,Married,2, ,Female, ,2, ,"$90,000 - $99,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),California,44248
4.066666667,3.857142857,5.4,4.4,4,3,4,4,4,4,4,4,3.5,4,3.5,2.285714286,3.5,4,2,2.666666667,3.2,2.5,3.4,3.5,3.5,5,4.5,Hybrid,0,0,1,39,100,403,Male, ,Hispanic or Latino or Spanish origin,American Indian or Alaska Native, ,Catholicism/Christianity, ,Liberal,Democrats, ,21-30 years old,Married,2, ,Male,2, , ,"$100,000 - $149,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Alaska,21306
4,3.142857143,5,1,3,3,3,3,3,3,3,3,4,4,4,2.428571429,3.5,3.5,2.285714286,4.166666667,3.4,3.5,3.8,3,3.5,4,4,Fact,1,0,0,40,100,414,Female, ,NOT Hispanic or Latino or Spanish origin,Asian, ,Catholicism/Christianity, ,Neither liberal nor conservative,Independents, ,21-30 years old,Partnered,1, ,Female, ,1, ,"$100,000 - $149,999","Master's degree (e.g., MA, MS, MEd)",Employed part time (up to 30 hours per week),California,26834
3.466666667,5,6.2,2,1,2,3,3,4,3,3,2,1,1.5,1.5,4.571428571,4.5,4,4.714285714,2.5,3,2.666666667,3.2,4,3.5,3,3.5,Hybrid,0,0,1,41,100,415,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Republicans, ,31-40 years old,Married,1, ,Male,1, , ,"$80,000 - $89,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),New Hampsire,69781
2.333333333,3.428571429,5.6,2.6,2,2,3,4,4,4,2,2,1,1,1,2.428571429,3,1.5,3.428571429,2.833333333,3.4,2.5,3.2,2.5,4,3.5,4.5,Control,0,0,0,42,100,420,Male, ,NOT Hispanic or Latino or Spanish origin,Two or more, ,Catholicism/Christianity, ,Liberal,Democrats, ,21-30 years old,Partnered,4, ,Other, , ,3 male 1 female,"More than $150,000","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Pennsylvania,88328
2.933333333,3.142857143,3.6,3.6,5,4,4,4,3,3,4,4,4,3.5,4.5,2.428571429,4,2,2.142857143,3.166666667,2.4,3,3.6,3.5,4,4,2.5,Narrative,0,1,0,43,99,421,Male, , ,Caucasian or White, ,Catholicism/Christianity, ,Neither liberal nor conservative,Democrats, ,21-30 years old,Separated,1, ,Female, ,1, ,"$30,000 - $39,999","Master's degree (e.g., MA, MS, MEd)",Employed part time (up to 30 hours per week),New York,14662
3.866666667,4.285714286,2.4,1.4,2,1,1,1,2,1,2,1,1.5,1.5,1.5,4.142857143,2,2.5,4.428571429,3.666666667,2.4,3,2.6,2,2.5,2.5,1,Fact,1,0,0,44,100,425,Male, ,NOT Hispanic or Latino or Spanish origin,Asian, ,Catholicism/Christianity, ,Very liberal,Democrats, ,21-30 years old,Married,1, ,Male,1, , ,"$30,000 - $39,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Florida,39869
3.666666667,4.571428571,6.8,2.8,3,3,3,2,2,2,3,3,4,5,5,1.428571429,4.5,3.5,1.428571429,3.166666667,3.4,2.666666667,3.2,4,4,3.5,4.5,Narrative,0,1,0,45,100,431,Male, ,NOT Hispanic or Latino or Spanish origin,Asian, ,Catholicism/Christianity, ,Neither liberal nor conservative,Independents, ,21-30 years old,Married,1, ,Male,1, , ,"$70,000 - $79,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),California,14444
4.266666667,3.571428571,4.2,2.6,2,2,3,3,4,3,3,3,1,1,1,4,3.5,1.5,4.857142857,3.666666667,3.2,2.666666667,2.8,4,4.5,4,3.5,Narrative,0,1,0,46,100,433,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Neither liberal nor conservative,Republicans, ,21-30 years old,Separated,1, ,Female, ,1, ,"$10,000 - $19,999","Associate degree (e.g. AA, AS)",Employed full time (40 or more hours per week),Pennsylvania,96733
3.466666667,4,4.6,5,4,3,4,4,4,4,3,4,3.5,4,3.5,2.428571429,4,4,2.285714286,2.833333333,3.8,2.5,3.6,4,4,4,2,Narrative,0,1,0,47,100,433,Female, ,Hispanic or Latino or Spanish origin,Black or African American, ,Catholicism/Christianity, ,Conservative,Democrats, ,21-30 years old,Married,2, ,Female, , , ,"$10,000 - $19,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),California,17627
2.666666667,3.428571429,4.8,4.6,3,4,4,2,4,4,1,5,3,4,3.5,2.285714286,4,5,2.714285714,3.5,2.6,2.666666667,3.8,4,3.5,3,4.5,Control,0,0,0,48,100,435,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Democrats, ,21-30 years old,Married,2, ,Male,2, , ,"$10,000 - $19,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Georgia,66804
3.466666667,3.142857143,4.6,4,3,4,3,3,4,4,4,4,2.5,3.5,4,2.428571429,3.5,4,2.571428571,3.5,3,3.166666667,3.2,3.5,3.5,3.5,3.5,Narrative,0,1,0,49,100,436,Male, ,NOT Hispanic or Latino or Spanish origin,American Indian or Alaska Native, ,Catholicism/Christianity, ,Neither liberal nor conservative,Democrats, ,21-30 years old,Married,2, ,Male,1, , ,"$100,000 - $149,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Texas,14382
4,4,4.2,2.2,2,2,2,2,2,2,2,2,2,2,2,3.571428571,2.5,4,2.142857143,3.333333333,3.4,2.666666667,3.8,4,4,4,2.5,Fact,1,0,0,50,100,438,Female, ,Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Conservative,Democrats, ,21-30 years old,Partnered,Other:,0, , , , ,"$60,000 - $69,999","Bachelor's degree (e.g. BA, BS)",Employed part time (up to 30 hours per week),New York,17146
2.266666667,2.285714286,5,4.4,2,1,4,4,2,3,1,1,2.5,3,4,3.428571429,2.5,3,2.857142857,3.5,3.6,3.333333333,1.8,1.5,1,2,1.5,Narrative,0,1,0,52,99,457,Male, ,Hispanic or Latino or Spanish origin,American Indian or Alaska Native, ,Catholicism/Christianity, ,Very conservative,Republicans, ,18-20 years old,Married,3, ,Male,30, , ,"Less than $10,000","Master's degree (e.g., MA, MS, MEd)",Retired,Arizona,95304
3.6,3.571428571,4.8,4.2,4,3,3,2,3,3,2,3,3.5,2.5,4,2.142857143,3.5,4,2.571428571,2.5,3,2.833333333,3.2,3.5,3.5,3.5,3.5,Narrative,0,1,0,53,100,458,Male, ,Hispanic or Latino or Spanish origin,Asian, ,Hinduism, ,Conservative,Independents, ,31-40 years old,Married,1, ,Male, , , ,"$50,000 - $59,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Florida,24553
3.933333333,4,4.8,3.4,4,3,4,3,2,3,3,3,4.5,4,4.5,1.285714286,5,4,2,2.833333333,4,2.166666667,3.4,4,4.5,4.5,4,Fact,1,0,0,54,100,462,Male, ,Hispanic or Latino or Spanish origin,American Indian or Alaska Native, ,Catholicism/Christianity, ,Neither liberal nor conservative,Democrats, ,31-40 years old,Married,2, ,Male, , , ,"$30,000 - $39,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),New York,20271
2.2,2.571428571,4.6,2.8,4,4,2,2,3,3,2,3,2.5,2,2,2.428571429,2.5,3.5,2.571428571,3.666666667,3.2,3,4,4,4,4,4.5,Control,0,0,0,55,100,466,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Neither liberal nor conservative,Independents, ,31-40 years old,Married,1, ,Male,1, , ,"$50,000 - $59,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Pennsylvania,46709
2.6,2.714285714,4,3.2,4,4,4,4,2,2,5,4,4.5,5,5,2.285714286,4,4,2,2.666666667,3,3.833333333,3.6,4,4,4,4.5,Fact,1,0,0,56,99,469,Female, ,NOT Hispanic or Latino or Spanish origin,American Indian or Alaska Native, ,Atheist, ,Liberal,Independents, ,21-30 years old,Married,1, ,Male,1, , ,"$40,000 - $49,999","Professional degree (e.g., MD, DDS, DVM)",Employed part time (up to 30 hours per week),New York,81307
2.533333333,2.857142857,4,3.8,4,4,2,2,2,2,4,4,3.5,4,4.5,2.571428571,3.5,4,2.428571429,3.5,3.4,2.666666667,3.4,2.5,4,4,4,Control,0,0,0,57,99,473,Male, ,NOT Hispanic or Latino or Spanish origin,Asian, ,Catholicism/Christianity, ,Neither liberal nor conservative,Independents, ,31-40 years old,Married,1, ,Male,1, , ,"$10,000 - $19,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Massachusetts,16872
3,1.714285714,4.8,2,3,2,1,1,1,2,2,2,1,1,1,3.142857143,1,3.5,3.142857143,4.333333333,2.6,3.166666667,3.2,3,4.5,2,4.5,Narrative,0,1,0,58,100,478,Female, ,NOT Hispanic or Latino or Spanish origin,Black or African American, ,Atheist, ,Neither liberal nor conservative,Independents, ,21-30 years old,Married,1, ,Female, ,3, ,"$70,000 - $79,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Maryland,72192
2.666666667,2.857142857,5.4,2,4,3,4,2,2,3,4,4,4,3,3,2.714285714,3,3.5,2.571428571,2.833333333,3.6,3.5,3.8,4.5,3,2.5,2.5,Hybrid,0,0,1,61,100,483,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Very conservative,Republicans, ,31-40 years old,Married,4, ,Male,4, , ,"$80,000 - $89,999","Some college, no degree",Employed full time (40 or more hours per week),Kansas,99611
2.4,2,5,2,4,4,3,3,2,3,3,3,4,4,4,2,4,2.5,2.714285714,3.166666667,4.4,3.5,4.4,3,2,3.5,2.5,Fact,1,0,0,60,100,483,Non-binary / third gender, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Agnostic, ,Very liberal,Other:,socialist,21-30 years old,Married,1, ,Male,1, , ,"$30,000 - $39,999","Some college, no degree",Employed full time (40 or more hours per week),Ohio,21912
3,3.285714286,5.6,6,5,4,4,4,4,4,4,3,4,4.5,4.5,1.714285714,3.5,4.5,2,2.166666667,4.2,3.166666667,3.4,4.5,4,3.5,4.5,Narrative,0,1,0,59,100,483,Female, ,Hispanic or Latino or Spanish origin,American Indian or Alaska Native, ,Hinduism, ,Neither liberal nor conservative,Independents, ,31-40 years old,Married,2, ,Male,2, , ,"Less than $10,000","Master's degree (e.g., MA, MS, MEd)",Unemployed and currently looking for work,Michigan,81364
3.266666667,2.428571429,4.8,1.6,4,2,4,2,1,2,5,3,5,3,3,1.285714286,2,4,2.5,4.2,4,3.5,3.4,5,4.5,2,4,Control,0,0,0,62,100,484,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Judaism, ,Liberal,Democrats, ,41-50 years old,Married,2, ,Male,2, , ,"$90,000 - $99,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Washington,56167
3,2.857142857,3.8,2.8,4,4,4,4,2,2,4,4,4,4.5,4,2.571428571,4,2.5,2.857142857,3.333333333,3.6,3.333333333,2.8,3,3.5,4,3.5,Narrative,0,1,0,63,99,486,Male, ,NOT Hispanic or Latino or Spanish origin,American Indian or Alaska Native, ,Catholicism/Christianity, ,Conservative,Democrats, ,21-30 years old,Married,1, ,Male,1, , ,"$10,000 - $19,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),New York,47415
2.933333333,2.857142857,3.8,4.6,3,3,4,3,2,3,3,4,3.5,3.5,3,3,3,3,2.857142857,3,2.8,3,3.2,2.5,3,3,2.5,Control,0,0,0,64,100,488,Male, ,NOT Hispanic or Latino or Spanish origin,Asian, ,Agnostic, ,Neither liberal nor conservative,Independents, ,21-30 years old,Partnered,1, ,Male,5, , ,"Less than $10,000","Some college, no degree",Student,North Carolina,22465
3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Narrative,0,1,0,65,100,489,Female, ,Hispanic or Latino or Spanish origin,Black or African American, ,Catholicism/Christianity, ,Neither liberal nor conservative,Democrats, ,41-50 years old,Married,3, ,Male, , , ,"$10,000 - $19,999","Master's degree (e.g., MA, MS, MEd)",Employed full time (40 or more hours per week),Alabama,91340
4.933333333,5,5.2,3.8,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,2.333333333,2.8,1.666666667,1.4,1,3,1,3,Fact,1,0,0,66,100,496,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Atheist, ,Very liberal,Democrats, ,31-40 years old,Widowed,2, ,Male,2, , ,"More than $150,000","Doctorate (e.g. PhD, EdD)",Employed full time (40 or more hours per week),Maine,24413
3.6,3,6.4,2.6,3,3,3,3,3,3,4,4,5,5,3,1,2,1,1,4,4.2,4.666666667,4.2,5,3.5,5,2.5,Control,0,0,0,67,100,497,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Agnostic, ,Neither liberal nor conservative,Independents, ,21-30 years old,Married,1, ,Female, ,1, ,"Less than $10,000","Some college, no degree",Unemployed and currently looking for work,Texas,97890
3.266666667,3.428571429,2.8,3,3,3,3,3,2,3,2,1,3,1.5,2.5,3.857142857,3,3.5,3.714285714,3.5,2.6,2,3.2,1,2,2,3,Fact,1,0,0,68,100,500,Male, ,NOT Hispanic or Latino or Spanish origin,Asian, ,Other:,HINDU,Liberal,Republicans, ,31-40 years old,Married,1, ,Male,1, , ,"Less than $10,000","Bachelor's degree (e.g. BA, BS)",Self-employed,Ohio,43702
4.066666667,4.714285714,5.2,1.6,4,3,4,3,1,3,5,2,3.5,1.5,2,1.571428571,1.5,4,3.428571429,4.5,4.4,3.166666667,3,4.5,5,1.5,3.5,Hybrid,0,0,1,69,100,500,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Agnostic, ,Neither liberal nor conservative,Independents, ,31-40 years old,Separated,2, ,Female, ,2, ,"$70,000 - $79,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Michigan,81882
3.266666667,3.714285714,3,2.6,5,4,4,4,2,2,4,4,5,4,5,2,2.5,2.5,2,2.666666667,3,4,3.2,4,3.5,4,3.5,Fact,1,0,0,70,99,501,Male, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Islam, ,Liberal,Independents, ,31-40 years old,Partnered,2, ,Female, ,2, ,"$20,000 - $29,999","Bachelor's degree (e.g. BA, BS)",Employed part time (up to 30 hours per week),Kansas,59194
3.2,2.857142857,6.8,1.6,4,3,4,2,3,4,5,3,5,1,1,1.142857143,3,5,4.142857143,3.5,4,1.833333333,2.4,5,5,1.5,3,Hybrid,0,0,1,71,100,503,Male, ,NOT Hispanic or Latino or Spanish origin,Black or African American, ,Catholicism/Christianity, ,Very conservative,Republicans, ,31-40 years old,Married,1, ,Male,1, , ,"$10,000 - $19,999",Less than a high school diploma,Self-employed,Massachusetts,91724
2.733333333,2.714285714,3.8,3.2,4,4,2,2,4,4,4,4,4.5,3.5,3.5,2.285714286,3.5,3.5,2.5,2.333333333,3,3.333333333,3.4,3.5,2.5,3.5,3.5,Control,0,0,0,72,99,506,Male, ,NOT Hispanic or Latino or Spanish origin,Black or African American, ,Catholicism/Christianity, ,Neither liberal nor conservative,Democrats, ,21-30 years old,Married,1, ,Male,1, , ,"$20,000 - $29,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),Arkansas,3034
4.733333333,4,5.2,3.2,2,1,1,4,4,4,3,1,1.5,1,1,3.428571429,3,4,5,2.833333333,2.6,1.666666667,2.6,3,3.5,2,3,Fact,1,0,0,73,100,509,Female, ,NOT Hispanic or Latino or Spanish origin,Caucasian or White, ,Catholicism/Christianity, ,Neither liberal nor conservative,Independents, ,21-30 years old,Partnered,1, ,Female, ,1, ,"$90,000 - $99,999","Some college, no degree",Self-employed,Missouri,31233
3.266666667,2.285714286,6,2.8,4,4,4,4,2,2,4,4,5,5,5,1,5,4,1,3.833333333,4.8,2.833333333,5,5,5,4,4,Fact,1,0,0,74,100,510,Female, , ,Asian, ,Judaism, ,Very liberal,Democrats, ,21-30 years old,Partnered,1, ,Female, ,1, ,"$40,000 - $49,999","Bachelor's degree (e.g. BA, BS)",Employed full time (40 or more hours per week),New York,4094
2.533333333,3.428571429,4.4,4,4,4,4,4,4,2,5,5,4,3.5,4,2.142857143,3,4,2.714285714,3.666666667,3.2,4.333333333,3.4,3,3.5,4.5,4,Fact,1,0,0,75,99,511,Female, , ,American Indian or Alaska Native, ,Islam, ,Neither liberal nor conservative,Democrats, ,31-40 years old,Married,1, ,Male,1, , ,"$60,000 - $69,999","Master's degree (e.g., MA, MS, MEd)",Homemaker,Arkansas,36479
3.666666667,4,5.2,3.8,4,3,4,4,4,3,4,4,3.5, , , , , , , , , , , , , , ,Hybrid,0,0,1,77,52,513, , , , , , , , , , , , , , , , , , , , , , ,82672
